Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
DSKE,"Daseke, Inc.",6.29,$407.15M,2015,Consumer Services,Transportation Services,https://old.nasdaq.com/symbol/dske
DSKEW,"Daseke, Inc.",0.2058,n/a,2015,Consumer Services,Transportation Services,https://old.nasdaq.com/symbol/dskew
DSL,DoubleLine Income Solutions Fund,16.43,$1.67B,2013,n/a,n/a,https://old.nasdaq.com/symbol/dsl
DSM,"BNY Mellon Strategic Municipal Bond Fund, Inc.",7.56,$373.63M,1989,n/a,n/a,https://old.nasdaq.com/symbol/dsm
DSPG,"DSP Group, Inc.",14.71,$345.91M,1994,Technology,Semiconductors,https://old.nasdaq.com/symbol/dspg
DSS,"Document Security Systems, Inc.",6.6,$33.76M,n/a,Consumer Durables,Containers/Packaging,https://old.nasdaq.com/symbol/dss
DSSI,Diamond S Shipping Inc.,7.5,$303.3M,2019,Consumer Services,Transportation Services,https://old.nasdaq.com/symbol/dssi
DSU,"Blackrock Debt Strategies Fund, Inc.",10.17,$476.14M,1998,n/a,n/a,https://old.nasdaq.com/symbol/dsu
DSWL,"Deswell Industries, Inc.",2.5,$39.79M,1995,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/dswl
DSX,Diana Shipping inc.,1.41,$125.88M,2005,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/dsx
DSX^B,Diana Shipping inc.,22.87,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dsx^b
DT,"Dynatrace, Inc.",46.69,$13.12B,2019,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/dt
DTE,DTE Energy Company,120.46,$23.21B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/dte
DTEA,DAVIDsTEA Inc.,1.06,$27.67M,2015,Consumer Non-Durables,Food Chains,https://old.nasdaq.com/symbol/dtea
DTF,"Duff & Phelps Utilities Tax-Free Income, Inc.",14.35,$122.27M,1991,n/a,n/a,https://old.nasdaq.com/symbol/dtf
DTIL,"Precision BioSciences, Inc.",5.46,$285.8M,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/dtil
DTJ,DTE Energy Company,25.58,n/a,2016,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/dtj
DTLA^,Brookfield DTLA Inc.,15.89,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dtla^
DTP,DTE Energy Company,46.97,n/a,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/dtp
DTQ,DTE Energy Company,25.5601,n/a,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/dtq
DTSS,Datasea Inc.,3.04,$63.67M,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/dtss
DTW,DTE Energy Company,26.73,n/a,2017,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/dtw
DTY,DTE Energy Company,26.17,n/a,2016,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/dty
DUC,"Duff & Phelps Utility & Corporate Bond Trust, Inc.",9.29,$255.43M,1993,n/a,n/a,https://old.nasdaq.com/symbol/duc
DUK,Duke Energy Corporation,81.47,$59.92B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/duk
DUK^A,Duke Energy Corporation,28.07,n/a,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/duk^a
DUKB,Duke Energy Corporation,28.08,n/a,2018,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/dukb
DUKH,Duke Energy Corporation,25.92,n/a,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/dukh
DUO,Fangdd Network Group Ltd.,7.64,$610.03M,2019,Finance,Real Estate,https://old.nasdaq.com/symbol/duo
DUOT,"Duos Technologies Group, Inc.",4.12,$14.53M,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/duot
DUSA,Davis Select U.S. Equity ETF,26.825,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dusa
DVA,DaVita Inc.,89.44,$10.91B,n/a,Health Care,Misc Health and Biotechnology Services,https://old.nasdaq.com/symbol/dva
DVAX,Dynavax Technologies Corporation,5.66,$619.84M,2004,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/dvax
DVD,"Dover Motorsports, Inc.",1.44,$52.41M,1996,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/dvd
DVLU,First Trust Dorsey Wright Momentum & Value ETF,15.62,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dvlu
DVN,Devon Energy Corporation,10.66,$4.08B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/dvn
DVOL,First Trust Dorsey Wright Momentum & Low Volatility ETF,23.33,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dvol
DVY,iShares Select Dividend ETF,86.28,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dvy
DWAS,Invesco DWA SmallCap Momentum ETF,60.36,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dwas
DWAT,Arrow DWA Tactical ETF,11.57,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dwat
DWAW,AdvisorShares Dorsey Wright FSM All Cap World ETF,33.2039,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dwaw
DWCR,Arrow DWA Country Rotation ETF,27.85,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dwcr
DWEQ,AdvisorShares Dorsey Wright Alpha Equal Weight ETF,24.9231,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dweq
DWFI,SPDR Dorsey Wright Fixed Income Allocation ETF,24.78,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dwfi
DWLD,Davis Select Worldwide ETF,27.365,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dwld
DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,22.335,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dwmc
DWPP,First Trust Dorsey Wright People&#39;s Portfolio ETF,26.83,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dwpp
DWSH,AdvisorShares Dorsey Wright Short ETF,17.56,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dwsh
DWSN,Dawson Geophysical Company,1.825,$42.61M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/dwsn
DWUS,AdvisorShares Dorsey Wright FSM US Core ETF,33.66,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dwus
DX,"Dynex Capital, Inc.",15.76,$364.7M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dx
DX^B,"Dynex Capital, Inc.",24.5487,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dx^b
DX^C,"Dynex Capital, Inc.",22.74,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dx^c
DXC,DXC Technology Company,22.37,$5.69B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/dxc
DXCM,"DexCom, Inc.",447.71,$42.86B,2005,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/dxcm
DXF,Dunxin Financial Holdings Limited,0.7052,$14.71M,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/dxf
DXGE,WisdomTree Germany Hedged Equity Fund,29.9936,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dxge
DXJS,WisdomTree Japan Hedged SmallCap Equity Fund,38,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dxjs
DXLG,"Destination XL Group, Inc.",0.305,$15.72M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/dxlg
DXPE,"DXP Enterprises, Inc.",19.97,$355.04M,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/dxpe
DXR,Daxor Corporation,15.66,$62.85M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/dxr
DXYN,"The Dixie Group, Inc.",1.1,$17.4M,n/a,Consumer Durables,Home Furnishings,https://old.nasdaq.com/symbol/dxyn
DY,"Dycom Industries, Inc.",65.05,$2.07B,n/a,Basic Industries,Water Supply,https://old.nasdaq.com/symbol/dy
DYAI,"Dyadic International, Inc.",7.83,$215.19M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/dyai
DYFN,Angel Oak Dynamic Financial Strategies Income Term Trust,18,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/dyfn
DYNT,Dynatronics Corporation,0.6749,$9.32M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/dynt
DZSI,DZS Inc.,11.02,$237.82M,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/dzsi
E,ENI S.p.A.,18.32,$32.72B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/e
EA,Electronic Arts Inc.,139.56,$40.3B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ea
EAB,"Entergy Arkansas, LLC",26.342,n/a,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/eab
EAD,Wells Fargo Income Opportunities Fund,7.57,$458.92M,2003,n/a,n/a,https://old.nasdaq.com/symbol/ead
EAE,"Entergy Arkansas, LLC",25.81,n/a,2013,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/eae
EAF,GrafTech International Ltd.,6.72,$1.8B,2018,Energy,Industrial Machinery/Components,https://old.nasdaq.com/symbol/eaf
EAI,"Entergy Arkansas, LLC",26.45,n/a,2016,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/eai
EARN,Ellington Residential Mortgage REIT,11.35,$139.83M,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/earn
EARS,Auris Medical Holding Ltd.,0.83,$5.43M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ears
EAST,"Eastside Distilling, Inc.",1.27,$12.78M,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/east
EAT,"Brinker International, Inc.",47.76,$2.15B,n/a,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/eat
EB,"Eventbrite, Inc.",11.22,$1.02B,2018,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/eb
EBAY,eBay Inc.,55.085,$38.55B,1998,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ebay
EBAYL,eBay Inc.,25.93,n/a,n/a,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ebayl
EBF,"Ennis, Inc.",18.34,$478.18M,n/a,Consumer Services,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/ebf
EBIX,"Ebix, Inc.",23.19,$716.86M,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/ebix
EBIZ,Global X E-commerce ETF,28.63,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ebiz
EBMT,"Eagle Bancorp Montana, Inc.",17.86,$121.37M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/ebmt
EBON,Ebang International Holdings Inc.,6.05,$792.76M,2020,Technology,Semiconductors,https://old.nasdaq.com/symbol/ebon
EBR,Centrais Electricas Brasileiras S.A.- Eletrobras,7.01,$11B,2016,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/ebr
EBR.B,Centrais Electricas Brasileiras S.A.- Eletrobras,n/a,n/a,2016,n/a,n/a,https://old.nasdaq.com/symbol/ebr.b
EBS,"Emergent Biosolutions, Inc.",111.51,$5.9B,2006,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ebs
EBSB,"Meridian Bancorp, Inc.",11.595,$607.73M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/ebsb
EBTC,Enterprise Bancorp Inc,22.08,$263.02M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/ebtc
EC,Ecopetrol S.A.,11.84,$24.34B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/ec
ECC           ,Eagle Point Credit Company Inc.,8.21,$260.06M,2014,n/a,n/a,https://old.nasdaq.com/symbol/ecc
ECCB,Eagle Point Credit Company Inc.,25.18,n/a,2016,n/a,n/a,https://old.nasdaq.com/symbol/eccb
ECCX,Eagle Point Credit Company Inc.,24.611,n/a,2018,n/a,n/a,https://old.nasdaq.com/symbol/eccx
ECCY,Eagle Point Credit Company Inc.,24.8,n/a,2017,n/a,n/a,https://old.nasdaq.com/symbol/eccy
ECF,Ellsworth Growth and Income Fund Ltd.,12.43,$164.14M,1986,n/a,n/a,https://old.nasdaq.com/symbol/ecf
ECF^A,Ellsworth Growth and Income Fund Ltd.,26.1999,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ecf^a
ECHO,"Echo Global Logistics, Inc.",27.705,$737.22M,2009,Transportation,Oil Refining/Marketing,https://old.nasdaq.com/symbol/echo
ECL,Ecolab Inc.,209.18,$59.7B,n/a,Basic Industries,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/ecl
ECOL,"US Ecology, Inc.",37.17,$1.17B,n/a,Public Utilities,Environmental Services,https://old.nasdaq.com/symbol/ecol
ECOLW,"US Ecology, Inc.",7.46,n/a,n/a,Public Utilities,Environmental Services,https://old.nasdaq.com/symbol/ecolw
ECOM          ,ChannelAdvisor Corporation,16.07,$460.96M,2013,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ecom
ECOR,"electroCore, Inc.",1.67,$74.36M,2018,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/ecor
ECOW,Pacer Emerging Markets Cash Cows 100 ETF,21.6506,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ecow
ECPG,Encore Capital Group Inc,48.22,$1.51B,n/a,Finance,Finance Companies,https://old.nasdaq.com/symbol/ecpg
ED,Consolidated Edison Inc,72.23,$24.16B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/ed
EDAP,EDAP TMS S.A.,4.245,$123.71M,1997,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/edap
EDD,"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc.",5.82,$384.66M,2007,n/a,n/a,https://old.nasdaq.com/symbol/edd
EDF,Stone Harbor Emerging Markets Income Fund,7.2,$119.39M,2010,n/a,n/a,https://old.nasdaq.com/symbol/edf
EDI,Stone Harbor Emerging Markets Total Income Fund,8.1,$79.84M,2012,n/a,n/a,https://old.nasdaq.com/symbol/edi
EDIT,"Editas Medicine, Inc.",36.16,$2.25B,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/edit
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor),3.48,$152.26M,2007,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/edn
EDNT,"Edison Nation, Inc.",2.16,$25.21M,2018,Consumer Non-Durables,Recreational Products/Toys,https://old.nasdaq.com/symbol/ednt
EDOC,Global X Telemedicine & Digital Health ETF,16.88,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/edoc
EDRY,EuroDry Ltd.,3.66,$8.43M,n/a,Consumer Services,Marine Transportation,https://old.nasdaq.com/symbol/edry
EDSA,"Edesa Biotech, Inc.",8.32,$78.33M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/edsa
EDTK,Skillful Craftsman Education Technology Limited,3.95,$47.4M,2020,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/edtk
EDU,"New Oriental Education & Technology Group, Inc.",153.53,$24.32B,2006,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/edu
EDUC,Educational Development Corporation,15.35,$128.24M,n/a,Consumer Durables,Consumer Specialties,https://old.nasdaq.com/symbol/educ
EDUT,Global X Education ETF,16.6537,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/edut
EEA,"European Equity Fund, Inc. (The)",9.9399,$75.01M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/eea
EEFT,"Euronet Worldwide, Inc.",102.9,$5.38B,1997,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/eeft
EEMA,iShares MSCI Emerging Markets Asia ETF,77.0392,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/eema
EEX,"Emerald Holding, Inc.",2.72,$194.43M,2017,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/eex
EFAS,Global X MSCI SuperDividend EAFE ETF,12.865,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/efas
EFC,Ellington Financial Inc.,12.42,$543.72M,2010,Finance,Real Estate,https://old.nasdaq.com/symbol/efc
EFC^A,Ellington Financial Inc.,21.945,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/efc^a
EFF,Eaton vance Floating-Rate Income Plus Fund,14.47,$110.06M,2013,n/a,n/a,https://old.nasdaq.com/symbol/eff
EFL,Eaton Vance Floating-Rate 2022 Target Term Trust,8.62,$203.62M,2017,n/a,n/a,https://old.nasdaq.com/symbol/efl
EFOI,"Energy Focus, Inc.",9.25,$29.97M,n/a,Consumer Durables,Building Products,https://old.nasdaq.com/symbol/efoi
EFR,Eaton Vance Senior Floating-Rate Fund,11.93,$439.6M,2003,n/a,n/a,https://old.nasdaq.com/symbol/efr
EFSC,Enterprise Financial Services Corporation,30.62,$802.43M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/efsc
EFT,Eaton Vance Floating Rate Income Trust,12.18,$485.54M,2004,n/a,n/a,https://old.nasdaq.com/symbol/eft
EFX,"Equifax, Inc.",174.13,$21.15B,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/efx
EGAN,eGain Corporation,13.47,$413.38M,1999,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/egan
EGBN,"Eagle Bancorp, Inc.",29.06,$936.57M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/egbn
EGF,"Blackrock Enhanced Government Fund, Inc",13.1,$62.03M,2005,n/a,n/a,https://old.nasdaq.com/symbol/egf
EGHT,8x8 Inc,17.19,$1.79B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/eght
EGHT,8x8 Inc,17.19,$1.79B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/eght
EGLE,Eagle Bulk Shipping Inc.,2.61,$201.11M,n/a,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/egle
EGO,Eldorado Gold Corporation,10.96,$1.91B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/ego
EGOV,NIC Inc.,22.23,$1.49B,1999,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/egov
EGP,"EastGroup Properties, Inc.",136.8,$5.38B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/egp
EGRX,"Eagle Pharmaceuticals, Inc.",38.62,$525.5M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/egrx
EGY,"VAALCO Energy, Inc. ",1.06,$60.9M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/egy
EH,EHang Holdings Limited,9.08,$496.94M,2019,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/eh
EHC,Encompass Health Corporation,67.06,$6.67B,n/a,Health Care,Hospital/Nursing Management,https://old.nasdaq.com/symbol/ehc
EHI,Western Asset Global High Income Fund Inc,9.89,$433.85M,2003,n/a,n/a,https://old.nasdaq.com/symbol/ehi
EHT,Eaton Vance High Income 2021 Target Term Trust,9.79,$210.14M,2016,n/a,n/a,https://old.nasdaq.com/symbol/eht
EHTH,"eHealth, Inc.",67.6,$1.74B,2006,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/ehth
EIC,Eagle Point Income Company Inc.,12.84,n/a,2019,n/a,n/a,https://old.nasdaq.com/symbol/eic
EIDX,"Eidos Therapeutics, Inc.",41.04,$1.58B,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/eidx
EIG,Employers Holdings Inc,32.72,$957.75M,2007,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/eig
EIGI,"Endurance International Group Holdings, Inc.",6.54,$920.42M,2013,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/eigi
EIGR,"Eiger BioPharmaceuticals, Inc.",10.9,$318.75M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/eigr
EIM,Eaton Vance Municipal Bond Fund,13.09,$941.87M,2002,n/a,n/a,https://old.nasdaq.com/symbol/eim
EIX,Edison International,52.57,$19.88B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/eix
EKSO,"Ekso Bionics Holdings, Inc.",4.6,$38.05M,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/ekso
EL,"Estee Lauder Companies, Inc. (The)",221.96,$80.08B,1995,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/el
ELA,Envela Corporation,3.36,$90.47M,n/a,Consumer Services,Consumer Specialties,https://old.nasdaq.com/symbol/ela
ELAN,Elanco Animal Health Incorporated,28.83,$13.6B,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/elan
ELAT,Elanco Animal Health Incorporated,46.35,n/a,2020,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/elat
ELC,"Entergy Louisiana, Inc.",26.17,n/a,2016,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/elc
ELF,"e.l.f. Beauty, Inc.",19.84,$1.01B,2016,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/elf
ELJ,"Entergy Louisiana, Inc.",26.67,n/a,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/elj
ELLO,Ellomay Capital Ltd.,28.8,$351.19M,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/ello
ELMD,"Electromed, Inc.",12.25,$105.21M,2011,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/elmd
ELOX,"Eloxx Pharmaceuticals, Inc.",2.94,$118M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://old.nasdaq.com/symbol/elox
ELP,Companhia Paranaense de Energia (COPEL),11.96,$3.27B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/elp
ELS,"Equity Lifestyle Properties, Inc.",67.94,$12.38B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/els
ELSE,"Electro-Sensors, Inc.",3.68,$12.5M,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/else
ELTK,Eltek Ltd.,4.95,$21.68M,1997,Technology,Electrical Products,https://old.nasdaq.com/symbol/eltk
ELU,"Entergy Louisiana, Inc.",25.65,n/a,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/elu
ELVT,"Elevate Credit, Inc.",2.22,$90.55M,2017,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/elvt
ELY,Callaway Golf Company,21.55,$2.03B,1992,Consumer Non-Durables,Recreational Products/Toys,https://old.nasdaq.com/symbol/ely
EMAN,eMagin Corporation,1.38,$92.99M,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/eman
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,114.48,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/emb
EMCB,WisdomTree Emerging Markets Corporate Bond Fund,74.41,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/emcb
EMCF,Emclaire Financial Corp,23,$62.3M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/emcf
EMD,Western Asset Emerging Markets Debt Fund Inc,13.1,$795.77M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/emd
EME,"EMCOR Group, Inc.",76.65,$4.21B,n/a,Capital Goods,Engineering & Construction,https://old.nasdaq.com/symbol/eme
EMF,Templeton Emerging Markets Fund,15.55,$257.35M,1987,n/a,n/a,https://old.nasdaq.com/symbol/emf
EMIF,iShares S&P Emerging Markets Infrastructure Index Fund,21.3411,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/emif
EMKR,EMCORE Corporation,3.49,$102.63M,1997,Technology,Semiconductors,https://old.nasdaq.com/symbol/emkr
EML,Eastern Company (The),22.26,$138.85M,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/eml
EMN,Eastman Chemical Company,79.09,$10.7B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/emn
EMO,ClearBridge Energy Midstream Opportunity Fund Inc.,11.35,$162.79M,2011,n/a,n/a,https://old.nasdaq.com/symbol/emo
EMP,"Entergy Mississippi, LLC",27.24,n/a,2016,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/emp
EMR,Emerson Electric Company,70.7,$42.25B,n/a,Energy,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/emr
EMX,EMX Royalty Corporation,3.06,$258.05M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/emx
EMXC,iShares MSCI Emerging Markets ex China ETF,46.8,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/emxc
ENB,Enbridge Inc,32.56,$65.94B,n/a,Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/enb
ENBA,Enbridge Inc,25.68,n/a,2018,Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/enba
ENBL,"Enable Midstream Partners, LP",5.18,$2.26B,2014,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/enbl
ENDP,Endo International plc,2.87,$659.57M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/endp
ENG,ENGlobal Corporation,0.8135,$22.3M,n/a,Consumer Services,Military/Government/Technical,https://old.nasdaq.com/symbol/eng
ENIA,Enel Americas S.A.,7.33,$11.18B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/enia
ENIC,Enel Chile S.A.,3.74,$5.17B,2016,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/enic
ENJ,"Entergy New Orleans, LLC",25.76,n/a,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/enj
ENLC,"EnLink Midstream, LLC",2.73,$1.34B,n/a,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/enlc
ENLV,Enlivex Therapeutics Ltd.,5.0999,$68.66M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/enlv
ENO,"Entergy New Orleans, LLC",27.44,n/a,2016,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/eno
ENOB,"Enochian Biosciences, Inc.",4.01,$186.45M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/enob
ENPH,"Enphase Energy, Inc.",77.02,$9.71B,2012,Technology,Semiconductors,https://old.nasdaq.com/symbol/enph
ENR,"Energizer Holdings, Inc.",46.6,$3.19B,2015,Miscellaneous,Industrial Machinery/Components,https://old.nasdaq.com/symbol/enr
ENR^A,"Energizer Holdings, Inc.",97.6823,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/enr^a
ENS,Enersys,74.1,$3.15B,2004,Consumer Non-Durables,Telecommunications Equipment,https://old.nasdaq.com/symbol/ens
ENSG,"The Ensign Group, Inc.",59.94,$3.22B,2007,Health Care,Hospital/Nursing Management,https://old.nasdaq.com/symbol/ensg
